,countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
0,SSF,2020,41.2521423477946,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
1,SSF,2019,40.7127786270592,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
2,SSF,2018,40.177085735276,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
3,SSF,2017,39.644858862013,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
4,SSF,2016,39.1162540614806,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
5,SSF,2015,38.5910737752434,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
6,SSF,2014,38.0690575538266,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
7,SSF,2013,37.5510568759617,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
8,SSF,2012,37.0371932383099,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
9,SSF,2011,36.5238440332946,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
10,SSF,2010,35.9983829028348,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
11,SSF,2009,35.47803732286,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
12,SSF,2008,34.9655930856004,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
13,SSF,2007,34.4581013456084,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
14,SSF,2006,34.0393909526496,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
15,SSF,2005,33.5792555083294,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
16,SSF,2004,33.1156872824967,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
17,SSF,2003,32.6651297528839,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
18,SSF,2002,32.2203609300692,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
19,SSF,2001,31.78032716044,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
20,SSF,2000,31.353649029344,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
21,SSF,1999,30.9935114911627,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
22,SSF,1998,30.6368053050014,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
23,SSF,1997,30.2796798423231,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
24,SSF,1996,29.9103470625846,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
25,SSF,1995,29.5432677964241,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
26,SSF,1994,29.1658086973472,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
27,SSF,1993,28.7667629754968,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
28,SSF,1992,28.3112547363718,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
29,SSF,1991,27.8423230147537,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
30,SSF,1990,27.3640816652584,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
31,SSF,1989,26.8056808248161,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
32,SSF,1988,26.2720876478703,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
33,SSF,1987,25.7350277068391,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
34,SSF,1986,25.1990411430896,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
35,SSF,1985,24.6605979265582,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
36,SSF,1984,24.1380096000899,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
37,SSF,1983,23.6531648658384,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
38,SSF,1982,23.2008953417034,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
39,SSF,1981,22.7671472137206,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
40,SSF,1980,22.3394236827899,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
41,SSF,1979,21.9646462450694,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
42,SSF,1978,21.5698722875684,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
43,SSF,1977,21.1211523968732,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
44,SSF,1976,20.6778534789318,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
45,SSF,1975,20.2280200176208,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
46,SSF,1974,19.7934802317499,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
47,SSF,1973,19.3710925730549,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
48,SSF,1972,18.9483667287973,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
49,SSF,1971,18.5290115978446,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZG,Sub-Saharan Africa
50,MEA,2020,65.9741365430288,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
51,MEA,2019,65.6787446510615,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
52,MEA,2018,65.3722058478715,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
53,MEA,2017,65.0527264346094,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
54,MEA,2016,64.7196042662877,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
55,MEA,2015,64.3709008546207,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
56,MEA,2014,64.0000455246673,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
57,MEA,2013,63.6742762941817,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
58,MEA,2012,63.340248808382,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
59,MEA,2011,63.0019834611492,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
60,MEA,2010,62.6566219963199,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
61,MEA,2009,62.2380073747348,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
62,MEA,2008,61.8161737581101,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
63,MEA,2007,61.3951846545032,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
64,MEA,2006,60.9667316667018,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
65,MEA,2005,60.5241568832915,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
66,MEA,2004,60.098188111351,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
67,MEA,2003,59.7163398298785,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
68,MEA,2002,59.3429539427992,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
69,MEA,2001,58.9717105676017,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
70,MEA,2000,58.5956739086839,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
71,MEA,1999,58.223269350404,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
72,MEA,1998,57.8539475320484,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
73,MEA,1997,57.4951164906264,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
74,MEA,1996,57.1574385120784,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
75,MEA,1995,56.8316540929006,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
76,MEA,1994,56.2517562766938,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
77,MEA,1993,55.8470367588508,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
78,MEA,1992,55.420902415008,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
79,MEA,1991,55.3185361850733,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
80,MEA,1990,54.9404438398467,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
81,MEA,1989,54.472764216484,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
82,MEA,1988,54.1025957198523,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
83,MEA,1987,53.6974334857012,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
84,MEA,1986,53.2152223789199,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
85,MEA,1985,52.6404126749219,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
86,MEA,1984,52.0585144427594,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
87,MEA,1983,51.4599832250995,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
88,MEA,1982,50.8503573005301,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
89,MEA,1981,50.2340640195673,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
90,MEA,1980,49.6095324419083,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
91,MEA,1979,48.9830520974221,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
92,MEA,1978,48.3638622381643,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
93,MEA,1977,47.7388437161353,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
94,MEA,1976,47.09115664701,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
95,MEA,1975,46.3895533424049,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
96,MEA,1974,45.675916842636,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
97,MEA,1973,44.9358659386773,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
98,MEA,1972,44.1626098142867,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
99,MEA,1971,43.4029480815084,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),ZQ,Middle East & North Africa
100,SAS,2020,34.8822931298263,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
101,SAS,2019,34.4318973424611,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
102,SAS,2018,33.9923519914099,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
103,SAS,2017,33.5641289593821,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
104,SAS,2016,33.1463212306561,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
105,SAS,2015,32.7375612918289,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
106,SAS,2014,32.3368479308894,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
107,SAS,2013,31.9444485923887,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
108,SAS,2012,31.5607093837822,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
109,SAS,2011,31.1838932849568,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
110,SAS,2010,30.8173672554446,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
111,SAS,2009,30.4539448451887,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
112,SAS,2008,30.0929785599811,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
113,SAS,2007,29.7336381476154,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
114,SAS,2006,29.3778274800509,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
115,SAS,2005,29.0258642633415,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
116,SAS,2004,28.6773287435044,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
117,SAS,2003,28.3321712143809,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
118,SAS,2002,27.9916967099737,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
119,SAS,2001,27.6535385063263,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
120,SAS,2000,27.3813026943349,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
121,SAS,1999,27.1470574740318,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
122,SAS,1998,26.9135845232727,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
123,SAS,1997,26.6776286303543,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
124,SAS,1996,26.4424363884697,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
125,SAS,1995,26.2103755248739,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
126,SAS,1994,25.9829792753507,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
127,SAS,1993,25.7579079474341,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
128,SAS,1992,25.5353508022534,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
129,SAS,1991,25.3138572215853,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
130,SAS,1990,25.0648202269114,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
131,SAS,1989,24.8030347759599,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
132,SAS,1988,24.5413781392756,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
133,SAS,1987,24.2747149118428,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
134,SAS,1986,24.0101050461126,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
135,SAS,1985,23.7467716158072,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
136,SAS,1984,23.4851850344777,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
137,SAS,1983,23.2242057403322,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
138,SAS,1982,22.9655531553055,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
139,SAS,1981,22.7096673008962,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
140,SAS,1980,22.3294143727937,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
141,SAS,1979,21.896504561116,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
142,SAS,1978,21.4781253591483,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
143,SAS,1977,21.0709610271537,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
144,SAS,1976,20.6732329451906,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
145,SAS,1975,20.2829560278547,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
146,SAS,1974,19.8992223034456,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
147,SAS,1973,19.5441463926034,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
148,SAS,1972,19.2079080370035,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
149,SAS,1971,18.8804999486322,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),8S,South Asia
150,EUU,2020,74.9565121046892,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
151,EUU,2019,74.7373263738728,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
152,EUU,2018,74.5166970796689,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
153,EUU,2017,74.3075095447834,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
154,EUU,2016,74.1050733249803,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
155,EUU,2015,73.9081840731671,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
156,EUU,2014,73.7178485782486,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
157,EUU,2013,73.5394058330158,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
158,EUU,2012,73.356888238534,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
159,EUU,2011,73.1680577319247,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
160,EUU,2010,72.9723261514084,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
161,EUU,2009,72.7634110956976,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
162,EUU,2008,72.5550308575922,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
163,EUU,2007,72.3363987139009,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
164,EUU,2006,72.1166485441279,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
165,EUU,2005,71.8999308930476,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
166,EUU,2004,71.6811057521961,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
167,EUU,2003,71.4627478838985,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
168,EUU,2002,71.2403831622261,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
169,EUU,2001,71.0122218629448,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
170,EUU,2000,70.825711562657,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
171,EUU,1999,70.669728283444,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
172,EUU,1998,70.5331306711975,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
173,EUU,1997,70.4015206786952,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
174,EUU,1996,70.2668311229442,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
175,EUU,1995,70.1268793123816,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
176,EUU,1994,69.986102256644,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
177,EUU,1993,69.8457595682077,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
178,EUU,1992,69.7159908312528,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
179,EUU,1991,69.5591457173031,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
180,EUU,1990,69.3689440805344,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
181,EUU,1989,69.1992511409423,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
182,EUU,1988,69.045058495436,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
183,EUU,1987,68.8400563340096,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
184,EUU,1986,68.6307376964056,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
185,EUU,1985,68.4799826169241,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
186,EUU,1984,68.3564443645799,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
187,EUU,1983,68.22258482955,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
188,EUU,1982,68.0592119293594,,,0,SP.URB.TOTL.IN.ZS,Urban population (% of total population),EU,European Union
