date,Sub-Saharan Africa,Middle East and North Africa ,South Asia ,European Union
2020,41.25214235,65.97413654,34.88229313,74.9565121
2019,40.71277863,65.67874465,34.43189734,74.73732637
2018,40.17708574,65.37220585,33.99235199,74.51669708
2017,39.64485886,65.05272643,33.56412896,74.30750954
2016,39.11625406,64.71960427,33.14632123,74.10507332
2015,38.59107378,64.37090085,32.73756129,73.90818407
2014,38.06905755,64.00004552,32.33684793,73.71784858
2013,37.55105688,63.67427629,31.94444859,73.53940583
2012,37.03719324,63.34024881,31.56070938,73.35688824
2011,36.52384403,63.00198346,31.18389328,73.16805773
2010,35.9983829,62.656622,30.81736726,72.97232615
2009,35.47803732,62.23800737,30.45394485,72.7634111
2008,34.96559309,61.81617376,30.09297856,72.55503086
2007,34.45810135,61.39518465,29.73363815,72.33639871
2006,34.03939095,60.96673167,29.37782748,72.11664854
2005,33.57925551,60.52415688,29.02586426,71.89993089
2004,33.11568728,60.09818811,28.67732874,71.68110575
2003,32.66512975,59.71633983,28.33217121,71.46274788
2002,32.22036093,59.34295394,27.99169671,71.24038316
2001,31.78032716,58.97171057,27.65353851,71.01222186
2000,31.35364903,58.59567391,27.38130269,70.82571156
1999,30.99351149,58.22326935,27.14705747,70.66972828
1998,30.63680531,57.85394753,26.91358452,70.53313067
1997,30.27967984,57.49511649,26.67762863,70.40152068
1996,29.91034706,57.15743851,26.44243639,70.26683112
1995,29.5432678,56.83165409,26.21037552,70.12687931
1994,29.1658087,56.25175628,25.98297928,69.98610226
1993,28.76676298,55.84703676,25.75790795,69.84575957
1992,28.31125474,55.42090242,25.5353508,69.71599083
1991,27.84232301,55.31853619,25.31385722,69.55914572
1990,27.36408167,54.94044384,25.06482023,69.36894408
1989,26.80568082,54.47276422,24.80303478,69.19925114
1988,26.27208765,54.10259572,24.54137814,69.0450585
1987,25.73502771,53.69743349,24.27471491,68.84005633
1986,25.19904114,53.21522238,24.01010505,68.6307377
1985,24.66059793,52.64041267,23.74677162,68.47998262
1984,24.1380096,52.05851444,23.48518503,68.35644436
1983,23.65316487,51.45998323,23.22420574,68.22258483
1982,23.20089534,50.8503573,22.96555316,68.05921193
1981,22.76714721,50.23406402,22.7096673,67.86225918
1980,22.33942368,49.60953244,22.32941437,67.5903726
1979,21.96464625,48.9830521,21.89650456,67.28227624
1978,21.56987229,48.36386224,21.47812536,66.95843973
1977,21.1211524,47.73884372,21.07096103,66.62272468
1976,20.67785348,47.09115665,20.67323295,66.29599683
1975,20.22802002,46.38955334,20.28295603,65.98818692
1974,19.79348023,45.67591684,19.8992223,65.65121151
1973,19.37109257,44.93586594,19.54414639,65.27137464
1972,18.94836673,44.16260981,19.20790804,64.87942514
1971,18.5290116,43.40294808,18.88049995,64.46902307
