Indicator,Time period,Time period label,Time period range,Sex,Age,Category Type,Category,Sub-category,Denominator,Value
Average anxiety (GAD-7) score,22/11/2021,22/11/2021,Weekly,Female,All ages,Sex,Female,,,5.1
Average anxiety (GAD-7) score,01/11/2021,01/11/2021,Weekly,Female,All ages,Sex,Female,,,4.5
Average anxiety (GAD-7) score,25/10/2021,25/10/2021,Weekly,Female,All ages,Sex,Female,,,4.3
Average anxiety (GAD-7) score,18/10/2021,18/10/2021,Weekly,Female,All ages,Sex,Female,,,5
Average anxiety (GAD-7) score,11/10/2021,11/10/2021,Weekly,Female,All ages,Sex,Female,,,4.9
Average anxiety (GAD-7) score,04/10/2021,04/10/2021,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,27/09/2021,27/09/2021,Weekly,Female,All ages,Sex,Female,,,4.4
Average anxiety (GAD-7) score,20/09/2021,20/09/2021,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,13/09/2021,13/09/2021,Weekly,Female,All ages,Sex,Female,,,4.9
Average anxiety (GAD-7) score,06/09/2021,06/09/2021,Weekly,Female,All ages,Sex,Female,,,4.7
Average anxiety (GAD-7) score,30/08/2021,30/08/2021,Weekly,Female,All ages,Sex,Female,,,4.2
Average anxiety (GAD-7) score,23/08/2021,23/08/2021,Weekly,Female,All ages,Sex,Female,,,4.6
Average anxiety (GAD-7) score,16/08/2021,16/08/2021,Weekly,Female,All ages,Sex,Female,,,4.6
Average anxiety (GAD-7) score,09/08/2021,09/08/2021,Weekly,Female,All ages,Sex,Female,,,4.7
Average anxiety (GAD-7) score,02/08/2021,02/08/2021,Weekly,Female,All ages,Sex,Female,,,4.3
Average anxiety (GAD-7) score,26/07/2021,26/07/2021,Weekly,Female,All ages,Sex,Female,,,4.2
Average anxiety (GAD-7) score,19/07/2021,19/07/2021,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,12/07/2021,12/07/2021,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,05/07/2021,05/07/2021,Weekly,Female,All ages,Sex,Female,,,4.4
Average anxiety (GAD-7) score,28/06/2021,28/06/2021,Weekly,Female,All ages,Sex,Female,,,4.4
Average anxiety (GAD-7) score,21/06/2021,21/06/2021,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,14/06/2021,14/06/2021,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,07/06/2021,07/06/2021,Weekly,Female,All ages,Sex,Female,,,4.4
Average anxiety (GAD-7) score,31/05/2021,31/05/2021,Weekly,Female,All ages,Sex,Female,,,4.5
Average anxiety (GAD-7) score,24/05/2021,24/05/2021,Weekly,Female,All ages,Sex,Female,,,5.1
