COUNTRY,Country,BIRTH,Place of birth,GENDER,Gender,RATE,Rate,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2000,2000,PC,Percentage,0,Units,,,6.9,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2001,2001,PC,Percentage,0,Units,,,7.5,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2002,2002,PC,Percentage,0,Units,,,6.9,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2003,2003,PC,Percentage,0,Units,,,6.3,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2004,2004,PC,Percentage,0,Units,,,5.9,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2005,2005,PC,Percentage,0,Units,,,5.5,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2006,2006,PC,Percentage,0,Units,,,5.4,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2007,2007,PC,Percentage,0,Units,,,5.5,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2008,2008,PC,Percentage,0,Units,,,5.2,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2009,2009,PC,Percentage,0,Units,,,6.8,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2010,2010,PC,Percentage,0,Units,,,6.1,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2011,2011,PC,Percentage,0,Units,,,6,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2012,2012,PC,Percentage,0,Units,,,6,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2013,2013,PC,Percentage,0,Units,,,6.1,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2014,2014,PC,Percentage,0,Units,,,6.6,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2015,2015,PC,Percentage,0,Units,,,6.8,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2016,2016,PC,Percentage,0,Units,,,6.7,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2017,2017,PC,Percentage,0,Units,,,6.9,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2018,2018,PC,Percentage,0,Units,,,6.5,,
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,6.2,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2000,2000,PC,Percentage,0,Units,,,7.2,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2001,2001,PC,Percentage,0,Units,,,7.3,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2002,2002,PC,Percentage,0,Units,,,7.1,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2003,2003,PC,Percentage,0,Units,,,6.7,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2004,2004,PC,Percentage,0,Units,,,10.7,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2005,2005,PC,Percentage,0,Units,,,10.5,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2006,2006,PC,Percentage,0,Units,,,9.8,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2007,2007,PC,Percentage,0,Units,,,9.7,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2008,2008,PC,Percentage,0,Units,,,7.8,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2009,2009,PC,Percentage,0,Units,,,8.2,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2010,2010,PC,Percentage,0,Units,,,7.6,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2011,2011,PC,Percentage,0,Units,,,8.3,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2012,2012,PC,Percentage,0,Units,,,8.2,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2013,2013,PC,Percentage,0,Units,,,9.3,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2014,2014,PC,Percentage,0,Units,,,9.5,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2015,2015,PC,Percentage,0,Units,,,10.2,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2016,2016,PC,Percentage,0,Units,,,10.4,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2017,2017,PC,Percentage,0,Units,,,10.5,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2018,2018,PC,Percentage,0,Units,,,9.2,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,8.4,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2000,2000,PC,Percentage,0,Units,,,17.5,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2001,2001,PC,Percentage,0,Units,,,15.4,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2002,2002,PC,Percentage,0,Units,,,17.3,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2003,2003,PC,Percentage,0,Units,,,17.3,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2004,2004,PC,Percentage,0,Units,,,15,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2005,2005,PC,Percentage,0,Units,,,18.9,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2006,2006,PC,Percentage,0,Units,,,19.3,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2007,2007,PC,Percentage,0,Units,,,17.2,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2008,2008,PC,Percentage,0,Units,,,14.9,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2009,2009,PC,Percentage,0,Units,,,16.1,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2010,2010,PC,Percentage,0,Units,,,17.3,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2011,2011,PC,Percentage,0,Units,,,14.6,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2012,2012,PC,Percentage,0,Units,,,15.9,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2013,2013,PC,Percentage,0,Units,,,16,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2014,2014,PC,Percentage,0,Units,,,16.3,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2015,2015,PC,Percentage,0,Units,,,16,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2016,2016,PC,Percentage,0,Units,,,15.5,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2017,2017,PC,Percentage,0,Units,,,13.8,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2018,2018,PC,Percentage,0,Units,,,10.5,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,10.4,,
CAN,Canada,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2008,2008,PC,Percentage,0,Units,,,7.3,,
CAN,Canada,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2009,2009,PC,Percentage,0,Units,,,9.6,,
CAN,Canada,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2010,2010,PC,Percentage,0,Units,,,9.7,,
CAN,Canada,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2011,2011,PC,Percentage,0,Units,,,9.3,,
