,countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
0,AGO,2020,21962884,,,0,SP.URB.TOTL,Urban population,AO,Angola
50,BEN,2020,5869446,,,0,SP.URB.TOTL,Urban population,BJ,Benin
100,BWA,2020,1666761,,,0,SP.URB.TOTL,Urban population,BW,Botswana
150,BFA,2020,6397866,,,0,SP.URB.TOTL,Urban population,BF,Burkina Faso
200,BDI,2020,1629988,,,0,SP.URB.TOTL,Urban population,BI,Burundi
250,CPV,2020,370577,,,0,SP.URB.TOTL,Urban population,CV,Cabo Verde
300,CMR,2020,15279799,,,0,SP.URB.TOTL,Urban population,CM,Cameroon
350,CAF,2020,2038064,,,0,SP.URB.TOTL,Urban population,CF,Central African Republic
400,TCD,2020,3863362,,,0,SP.URB.TOTL,Urban population,TD,Chad
450,COM,2020,255487,,,0,SP.URB.TOTL,Urban population,KM,Comoros
500,COG,2020,3742867,,,0,SP.URB.TOTL,Urban population,CG,"Congo, Rep."
550,COD,2020,40874034,,,0,SP.URB.TOTL,Urban population,CD,"Congo, Dem. Rep."
600,CIV,2020,13639151,,,0,SP.URB.TOTL,Urban population,CI,Cote d'Ivoire
650,GNQ,2020,1025582,,,0,SP.URB.TOTL,Urban population,GQ,Equatorial Guinea
700,ERI,2020,,,,0,SP.URB.TOTL,Urban population,ER,Eritrea
750,SWZ,2020,280423,,,0,SP.URB.TOTL,Urban population,SZ,Eswatini
800,ETH,2020,24941349,,,0,SP.URB.TOTL,Urban population,ET,Ethiopia
850,GAB,2020,2005203,,,0,SP.URB.TOTL,Urban population,GA,Gabon
900,GMB,2020,1512397,,,0,SP.URB.TOTL,Urban population,GM,"Gambia, The"
950,GHA,2020,17820023,,,0,SP.URB.TOTL,Urban population,GH,Ghana
1000,GIN,2020,4842717,,,0,SP.URB.TOTL,Urban population,GN,Guinea
1050,GNB,2020,869776,,,0,SP.URB.TOTL,Urban population,GW,Guinea-Bissau
1100,KEN,2020,15053275,,,0,SP.URB.TOTL,Urban population,KE,Kenya
1150,LSO,2020,621853,,,0,SP.URB.TOTL,Urban population,LS,Lesotho
1200,LBR,2020,2634493,,,0,SP.URB.TOTL,Urban population,LR,Liberia
1250,MDG,2020,10670457,,,0,SP.URB.TOTL,Urban population,MG,Madagascar
1300,MWI,2020,3333777,,,0,SP.URB.TOTL,Urban population,MW,Malawi
1350,MLI,2020,8891939,,,0,SP.URB.TOTL,Urban population,ML,Mali
1400,MRT,2020,2572517,,,0,SP.URB.TOTL,Urban population,MR,Mauritania
1450,MUS,2020,515916,,,0,SP.URB.TOTL,Urban population,MU,Mauritius
1500,MOZ,2020,11587640,,,0,SP.URB.TOTL,Urban population,MZ,Mozambique
1550,NAM,2020,1322115,,,0,SP.URB.TOTL,Urban population,NA,Namibia
1600,NER,2020,4024595,,,0,SP.URB.TOTL,Urban population,NE,Niger
1650,NGA,2020,107106007,,,0,SP.URB.TOTL,Urban population,NG,Nigeria
1700,RWA,2020,2257829,,,0,SP.URB.TOTL,Urban population,RW,Rwanda
1750,STP,2020,162955,,,0,SP.URB.TOTL,Urban population,ST,Sao Tome and Principe
1800,SEN,2020,8057514,,,0,SP.URB.TOTL,Urban population,SN,Senegal
1850,SYC,2020,56661,,,0,SP.URB.TOTL,Urban population,SC,Seychelles
1900,SLE,2020,3423961,,,0,SP.URB.TOTL,Urban population,SL,Sierra Leone
1950,SOM,2020,7333290,,,0,SP.URB.TOTL,Urban population,SO,Somalia
2000,ZAF,2020,39946775,,,0,SP.URB.TOTL,Urban population,ZA,South Africa
2050,SSD,2020,2261021,,,0,SP.URB.TOTL,Urban population,SS,South Sudan
2100,TZA,2020,21042571,,,0,SP.URB.TOTL,Urban population,TZ,Tanzania
2150,TGO,2020,3543299,,,0,SP.URB.TOTL,Urban population,TG,Togo
2200,UGA,2020,11414209,,,0,SP.URB.TOTL,Urban population,UG,Uganda
2250,ZMB,2020,8204576,,,0,SP.URB.TOTL,Urban population,ZM,Zambia
2300,ZWE,2020,4792105,,,0,SP.URB.TOTL,Urban population,ZW,Zimbabwe
2349,ZWE,1971,977914,,,0,SP.URB.TOTL,Urban population,ZW,Zimbabwe
