,countryiso3code,date,urban population growth rate,unit,obs_status,decimal,indicator.id,country.id,country.value,educational attainment,date
0,AGO,2020,4.192961928,,,1,SP.URB.GROW,AO,Angola,39.52354,2016
50,BEN,2020,3.843237033,,,1,SP.URB.GROW,BJ,Benin,42.41021,2016
100,BWA,2020,3.058549903,,,1,SP.URB.GROW,BW,Botswana,51.90168,2008
150,BFA,2020,4.893044734,,,1,SP.URB.GROW,BF,Burkina Faso,49.07022,2018
200,BDI,2020,5.602624261,,,1,SP.URB.GROW,BI,Burundi,52.69295,2018
250,CPV,2020,1.782496858,,,1,SP.URB.GROW,CV,Cabo Verde,52.22378,2018
300,CMR,2020,3.588126441,,,1,SP.URB.GROW,CM,Cameroon,45.89873,2016
350,CAF,2020,2.786312522,,,1,SP.URB.GROW,CF,Central African Republic,40.13015,2017
400,TCD,2020,3.989289261,,,1,SP.URB.GROW,TD,Chad,31.27065,2016
450,COM,2020,2.912200654,,,1,SP.URB.GROW,KM,Comoros,50.78499,2018
500,COG,2020,3.199567596,,,1,SP.URB.GROW,CG,"Congo, Rep.",46.22579,2012
550,COD,2020,4.448304654,,,1,SP.URB.GROW,CD,"Congo, Dem. Rep.",38.80093,2015
600,CIV,2020,3.447873107,,,1,SP.URB.GROW,CI,Cote d'Ivoire,43.47853,2018
650,GNQ,2020,4.056782157,,,1,SP.URB.GROW,GQ,Equatorial Guinea,41.70842,2005
750,SWZ,2020,1.831427132,,,1,SP.URB.GROW,SZ,Eswatini,49.54566,2016
800,ETH,2020,4.731593022,,,1,SP.URB.GROW,ET,Ethiopia,48.45785,2015
850,GAB,2020,2.807337823,,,1,SP.URB.GROW,GA,Gabon,46.33188,1999
900,GMB,2020,3.941044324,,,1,SP.URB.GROW,GM,"Gambia, The",48.78092,2010
950,GIN,2020,3.813756949,,,1,SP.URB.GROW,GN,Guinea,39.12257,2014
1000,GNB,2020,3.373917664,,,1,SP.URB.GROW,GW,Guinea-Bissau,35.51978,2000
1050,KEN,2020,4.010417757,,,1,SP.URB.GROW,KE,Kenya,47.26429,2009
1100,LSO,2020,2.333838655,,,1,SP.URB.GROW,LS,Lesotho,57.37709,2017
1150,LBR,2020,3.321483992,,,1,SP.URB.GROW,LR,Liberia,42.85374,2015
1200,MDG,2020,4.402811227,,,1,SP.URB.GROW,MG,Madagascar,50.60593,2018
1250,MWI,2020,4.117354702,,,1,SP.URB.GROW,MW,Malawi,49.53251,2018
1350,MRT,2020,4.195411453,,,1,SP.URB.GROW,MR,Mauritania,49.71302,2018
1400,MUS,2020,-0.012404351,,,1,SP.URB.GROW,MU,Mauritius,50.41822,2018
1450,MOZ,2020,4.370514835,,,1,SP.URB.GROW,MZ,Mozambique,47.51968,2017
1500,NAM,2020,3.765611332,,,1,SP.URB.GROW,NA,Namibia,53.85554,2007
1550,NER,2020,4.429113819,,,1,SP.URB.GROW,NE,Niger,41.91998,2017
1600,NGA,2020,4.096610591,,,1,SP.URB.GROW,NG,Nigeria,46.57444,2016
1650,RWA,2020,3.228368289,,,1,SP.URB.GROW,RW,Rwanda,53.156,2018
1700,STP,2020,2.916533543,,,1,SP.URB.GROW,ST,Sao Tome and Principe,53.13623,2017
1750,SEN,2020,3.688782772,,,1,SP.URB.GROW,SN,Senegal,51.87243,2018
1800,SYC,2020,1.599350957,,,1,SP.URB.GROW,SC,Seychelles,50.63681,2018
1850,SLE,2020,3.102517098,,,1,SP.URB.GROW,SL,Sierra Leone,49.08339,2017
1900,SOM,2020,4.154632356,,,1,SP.URB.GROW,SO,Somalia,31.47281,2007
1950,ZAF,2020,2.015480033,,,1,SP.URB.GROW,ZA,South Africa,51.70123,2017
2000,SSD,2020,2.679110035,,,1,SP.URB.GROW,SS,South Sudan,34.49112,2015
2050,TZA,2020,5.022127913,,,1,SP.URB.GROW,TZ,Tanzania,50.82547,2018
2100,TGO,2020,3.698760818,,,1,SP.URB.GROW,TG,Togo,41.95472,2017
2150,UGA,2020,5.674776655,,,1,SP.URB.GROW,UG,Uganda,44.88202,2007
2200,ZMB,2020,4.141609257,,,1,SP.URB.GROW,ZM,Zambia,35.39795,1982
2250,ZWE,2020,1.573168617,,,1,SP.URB.GROW,ZW,Zimbabwe,49.57466,2013
